25/11/2024	Factura C	0003-00001034	CUIT	30500051163	74489422989515	225819.66
25/11/2024	Factura C	0003-00001033	CUIT	30500049770	74489422491918	60860.46
25/11/2024	Factura C	0003-00001032	CUIT	30714182753	74489422015643	56740.02
25/11/2024	Factura C	0003-00001031	CUIT	30657048689	74489421459329	68570.26
25/11/2024	Factura C	0003-00001030	CUIT	30609160558	74489420574601	15777.19
15/11/2024	Nota de Crédito C	0003-00000018	CUIT	30500049770	74469326570718	12137.03
12/11/2024	Factura C	0003-00001029	CUIT	30500037217	74469925626706	244446.02
12/11/2024	Factura C	0003-00001028	CUIT	30687156168	74469925227623	61051.25
05/11/2024	Factura C	0003-00001027	CUIT	30686273330	74459043941011	10183.27
05/11/2024	Factura C	0003-00001026	CUIT	30688254090	74459042936554	74695.27
05/11/2024	Factura C	0003-00001025	CUIT	30714590541	74459042379777	174236.28
05/11/2024	Factura C	0003-00001024	CUIT	30500017011	74459041895503	227316.96
05/11/2024	Factura C	0003-00001023	CUIT	30500036911	74459041202200	496801.14
05/11/2024	Factura C	0003-00001022	CUIT	33707366589	74459040745157	98765.11
05/11/2024	Factura C	0003-00001021	CUIT	30500000127	74459039706553	148141.78
05/11/2024	Factura C	0003-00001020	CUIT	33686262869	74459039281455	14417.02
05/11/2024	Factura C	0003-00001019	CUIT	30500031960	74459038644945	178345.99
31/10/2024	Factura C	0003-00001018	CUIT	30500051163	74449489275030	85473.34
28/10/2024	Factura C	0003-00001017	CUIT	30500051163	74449028280379	235122.19
21/10/2024	Factura C	0003-00001016	CUIT	30714182753	74439272210636	53442.57
21/10/2024	Factura C	0003-00001015	CUIT	30657048689	74439265740890	61138.49
21/10/2024	Factura C	0003-00001014	CUIT	30609160558	74439265167668	13718.13
21/10/2024	Factura C	0003-00001013	CUIT	30500049770	74439264454117	56610.91
08/10/2024	Factura C	0003-00001012	CUIT	30686273330	74419777245888	10599.88
08/10/2024	Factura C	0003-00001011	CUIT	30688254090	74419776105689	66599.67
08/10/2024	Factura C	0003-00001010	CUIT	30687156168	74419775654878	99805.14
08/10/2024	Factura C	0003-00001009	CUIT	30500017011	74419775003786	249950.3
08/10/2024	Factura C	0003-00001008	CUIT	30500036911	74419774575327	426023.04
08/10/2024	Factura C	0003-00001007	CUIT	30500000127	74419773674149	131183.92
08/10/2024	Factura C	0003-00001006	CUIT	30500037217	74419772772606	235217.29
08/10/2024	Factura C	0003-00001005	CUIT	33686262869	74419772194982	43747.35
08/10/2024	Factura C	0003-00001004	CUIT	30500031960	74419771827233	162327.75
02/10/2024	Factura C	0003-00001003	CUIT	33707366589	74409020284873	93206.2
02/10/2024	Factura C	0003-00001002	CUIT	30714590541	74409019344259	196663.5
01/10/2024	Factura C	0003-00001001	CUIT	30500051163	74409858902999	102195
23/09/2024	Factura C	0003-00001000	CUIT	30657048689	74399969297280	79336.68
23/09/2024	Factura C	0003-00000999	CUIT	30500051163	74399968824981	282034.53
20/09/2024	Factura C	0003-00000998	CUIT	30500049770	74389684653724	83536.16
